start	end	text
0	5800	This week, on The Agent Factory, it's the agentic looping action.
5800	8000	I'm not very good at like sitting down and reading.
8000	11800	My re-later folder has its own gravitational pull.
11800	16000	With AI, using AI these days, it is so easy to 10x to yourself.
16000	19000	100x and that's the hard part.
19000	22000	Yeah, and my mom watches these, so mom, I'm still alive.
22000	32000	Hi, everyone, and welcome to The Agent Factory, the podcast that goes beyond the hype,
32000	35000	and dives into building production-ready AI agents.
35000	37000	I'm Molly Bennett.
37000	38000	And I'm Emma Morage.
38000	42000	And today, we're going to be diving deep into the Gemini CLI.
42000	48000	So we used the CLI a bit in our last episode, including this live vibe coding demo
48000	49000	that was a ton of fun.
49000	52000	I suggest you check it out if you haven't seen it yet.
52000	55000	I'm really excited to show it off in more detail.
55000	61000	And for anyone who hasn't heard or haven't, hasn't heard of or used the Gemini CLI yet,
61000	65000	it's a really powerful agent, lives right in your command line,
65000	69000	and it's designed to help you with your everyday workflows.
69000	74000	Yeah, and I'm really excited because in this episode, we're actually going to show you how to use Gemini CLI
74000	78000	or getting up to speed on a new code base, super charging your research,
78000	82000	and how you can use it to integrate it into your own automations.
82000	86000	Yeah, and to help us do that, we're very excited to have Taylor Mullin,
86000	89000	the creator of Gemini CLI with us today.
89000	93000	We're going to pick his brain about the philosophy behind the tool,
93000	96000	and what's next on the roadmap, which I'm very excited to hear about.
96000	97000	Yeah, I can't wait.
97000	100000	I mean, I've been using the CLI now for a few weeks,
100000	103000	and I already feel like it's become a mainstay in my workflow.
103000	105000	What about you, Molly, what's your take?
105000	107000	Oh, yeah, no, I'm totally sold.
107000	111000	For me, the biggest thing is that it lives in the terminal,
111000	115000	where I do my work, and I was also able to add a directly to VS code,
115000	118000	the IDE I use, so that was super handy.
118000	121000	Yeah, I feel like having it integrated into so many different tools
121000	123000	makes it indispensable.
123000	126000	And also on that note, having Taylor with us here today,
126000	130000	who's going to be able to tell us even more about the background in philosophy,
130000	133000	behind Gemini CLI, will be invaluable.
133000	139000	But before we talk to Taylor, let's get hands-on with some demos on the facts before.
139000	145000	Let's tackle a universal developer problem,
145000	148000	which is onboarding onto a new code base.
148000	150000	I think all of us have had to do this at some point.
150000	156000	I'm going to go ahead and show how the Gemini CLI can help speed up this onboarding process.
157000	161000	Okay, yeah, so code base exploration, that sounds pretty cool.
161000	165000	And I feel like this will also be a really good showcase for Gemini CLI's massive
165000	168000	1 million token context window.
168000	172000	I feel like that's kind of the difference between asking questions about a single file
172000	175000	versus maybe the entire architecture all at one.
175000	177000	Yeah, yeah, totally.
177000	182000	And so to start, I'm actually not even going to clone the repo myself.
182000	185000	I'm just going to ask the agent to do it for me.
185000	189000	So I've decided to use Google's ADK repo for this example.
189000	192000	So ADK stands for agent development kit.
192000	200000	So I'm just going to say clone the Google ADK Python repo from GitHub.
200000	205000	And I'm going to see what it does.
205000	211000	Okay, so it's searching the web trying to find the right link.
211000	212000	Awesome.
212000	213000	It found the right link.
213000	216000	It's asking me for permission to clone it.
216000	221000	Go ahead.
221000	222000	Cool.
222000	225000	Yeah, and this looks like it's the agent group in action.
225000	228000	It's kind of reasoning that it needs a piece of information.
228000	231000	It then chooses a tool to get that information looks like.
231000	234000	And then it uses that information to complete the original request.
234000	238000	And then also at the same time, it asks you if you want to proceed.
238000	239000	Checking back in.
239000	242000	So yeah, this is a super helpful workflow.
242000	252000	I think the way I want to tackle this is let's imagine that we're like a new contributor to this project.
252000	259000	What do you think is the first like what's the first thing you'd want to do if you were a new contributor to a project and you wanted to figure out how to go forward.
259000	262000	Feel like I would want to get a high level understanding of the project.
262000	265000	I think I learned best maybe from like a top down perspective.
265000	269000	Things like text stack, how code of structure, stuff like that.
269000	273000	Yeah, yeah, totally like in the past.
273000	276000	And then not so distant past actually.
276000	279000	You know, you might start with like reading a read me file.
279000	282000	Maybe contributing file.
282000	285000	You know, start piecing things together that way.
285000	286000	And like.
286000	291000	I'm not very good at like sitting down and reading a huge amount of documentation to be quite honest.
291000	298000	So instead, I'm going to ask the Gemini CLI to perform a high level audit of the entire directory.
298000	301000	So let's see.
301000	305000	I'm going to ask the Gemini CLI agent for a complete project overview.
305000	312000	I want it to tell me the purpose, the text stack and analyze architecture all in one go.
312000	319000	Yeah, and I feel like that's much more powerful than just relying on one read me document.
319000	322000	This way you can kind of point at the whole directory.
322000	325000	And it's cool because you're asking it to like synthesize everything.
325000	332000	The source, file, the docs, all of the code into a single coherent sort of overview, right?
332000	333000	Yeah.
333000	334000	Yeah, absolutely.
334000	343000	Yeah, it's like it's ingesting the entire directory to build out this like complete mental model of the project, which is super helpful.
343000	345000	Okay, great.
345000	353000	Starting to output this looks really good and helpful.
353000	359000	Yeah, identified the purpose, the text stack, core dependencies, all that good stuff.
359000	362000	That's like helpful to kind of know what the outlet.
362000	364000	Yeah, it's really verbose what it did.
364000	368000	Summary, I wouldn't have been able to write it better myself, right?
368000	369000	Yeah.
369000	372000	And now for the part of the show that we've both been waiting for.
372000	377000	We're going to shift gears and get a deep dive into the philosophy and future of Gemini CLI.
377000	383000	We'd now like to welcome to the podcast Taylor Mullin, creator of Gemini CLI.
383000	385000	Taylor, thank you so much for joining us.
385000	386000	Thanks for having me.
386000	387000	This is fun to be here.
387000	389000	Yeah, so let's start at the very beginning.
389000	393000	Could you tell us the origin story of the Gemini CLI?
393000	397000	Like, what was the initial spark or inspiration that led to it?
397000	398000	And how did things go from there?
398000	399000	I'm very curious to hear.
399000	401000	Oh, yeah, it's kind of crazy.
401000	405000	It started about a year and a half ago, weirdly enough, right?
405000	406000	It's so long ago.
406000	414000	But like, at the time, I was experimenting with multi agent systems and trying to get like the most out of our elements.
414000	420000	And so at the time, like, I had the system where the multiple personas, they were talking to each other and they were doing a lot of cool things.
420000	422000	And it was surfaced in a lot of different ways.
422000	426000	It was surfaced in IDE, it was surfaced in a CLI.
426000	428000	It was surfaced in the web.
428000	434000	And as I was playing with these things, the thing that really stuck for me was the CLI.
434000	437000	It was so easy to use, so lightweight.
437000	447000	But at the time, like, it took 30 requests, like one user request resulted in like 30 LLM requests behind the scenes.
447000	450000	And those 30 requests was a lot for the time.
450000	453000	It took a minute and a half to respond to anything.
453000	455000	And the quality was there.
455000	459000	Like, this was something at the time that was just too much.
459000	462000	Like, we also have limited context window.
462000	470000	And so in that realm, it being a CLI and it having all these constraints, we scrapped the project.
470000	472000	And that was kind of challenging at the time.
472000	474000	It was almost a little bit too early.
474000	475000	Yeah.
475000	480000	It was one of those things like, okay, no one's going to want to use this because it cost too much.
480000	482000	It couldn't absorb enough information.
482000	488000	And it took too long to respond, which is kind of a trippy thing like fast forwarding today, right?
488000	491000	We're very much used to, you have deep research, like you click a button.
491000	495000	And then you go off and you get a coffee and you come back and hopefully it's done.
495000	496000	And it's crazy.
496000	498000	It's so different.
498000	502000	But during that time, like, it was too early.
502000	508000	And then today, like me, Google and me, I'm really trying to like build this future of developer tools.
508000	514000	Like, there was this ecosystem of CLIs that was just taking hold in the community, right?
514000	518000	And it really proved that people are willing to wait.
518000	522000	People are willing to use a CLI.
522000	525000	And they find it, they found it as compelling as they I did back then.
525000	527000	It's like, when all this started to happen, I'm like, oh my goodness.
527000	532000	Maybe I was just too early and maybe we should try and give this another go.
532000	538000	And so that like, I really grounded at least the motivation of saying, okay, I've done this before.
538000	545000	And like, I've learned a lot over my entire career of what it means to build developer tools and what it means.
545000	550000	It's like, build something that can kind of span a lot of ecosystems.
550000	553000	And so we started Gemini CLI from that point.
553000	557000	So it's like, I basically, I went dark, obviously, I went dark for like a week.
557000	560000	And I'm like, okay, I'm going to do this.
560000	564000	I have this idea that went dark for a week, talked to no one, spent every waking second,
564000	567000	was getting like five to six hours of sleep in the night.
567000	570000	And this was like, I think it was like Saturday through Saturday.
570000	572000	Saturday through Sunday or something like that.
572000	576000	And then like that Monday, I had a prototype, did a video.
576000	581000	I put it out and Googlers started just going like wild for it.
581000	582000	It was super cool.
582000	584000	Yeah, thanks so much for sharing that.
584000	590000	And so I guess building on that, you know, making the Gemini CLI open source was a very deliberate choice, I think,
590000	595000	which you've linked to security and learning and a whole host of other things.
595000	604000	So how does this open, trust-based approach contrast with the more like black box nature of other maybe major AI tools out there?
604000	610000	And what kind of ecosystem do you hope that this will foster the transparency will foster?
610000	612000	Yeah, it's like to be frigate.
612000	615000	I started my career in open source.
615000	621000	Like I have always been in developer tooling or framework to one thing and the other and open source has been like front and center.
621000	625000	So like from day zero, that was a key thing in my head.
